date,team,location_name,lat,lng
2026-01-19,Agency,Dongdok Market,18.04578373,102.6366376
2026-01-20,Agency,Xokthavy Dankham,17.97804207,102.525771
2026-01-21,Agency,Suanmone Market,17.91863675,102.6205948
2026-01-22,Agency,APB Bank,18.02655507,102.6523636
2026-01-23,Agency,Nonsaengchanh Market,17.99366656,102.7030774
2026-01-24,Agency,Xokthavy Thongkhankham,17.97419696,102.6078843
2026-01-26,Agency,Xokthavy Donenoun,18.0455591,102.6590512
2026-01-27,Agency,Insee Nongbone,18.02361738,102.5484366
2026-01-28,Agency,Lao Telecom Office,17.9642688,102.6096547
2026-01-29,Agency,Xokthavy Chommany,18.00176004,102.6274143
2026-02-06,Agency,Phonsavang Market,18.00002238,102.6259012
2026-02-07,Agency,Nnghai Market,17.91441786,102.6492325
2026-02-09,Agency,Nonkhor Market,17.96754999,102.6607659
2026-02-10,Agency,Lao Market,18.03045571,102.6599783
2026-02-11,Agency,Khaopoon Jeiw King,17.97960595,102.627652
2026-02-12,Agency,Thatluang lake,17.96059616,102.6502594
2026-02-14,Agency,EDL / ITECC,17.96201179,102.6465288
2026-02-16,Agency,BCEL Office,17.96340478,102.6068256
2026-02-17,Agency,Seen dard Farsai,17.9808241,102.6084531
2026-02-18,Agency,ETL Office,17.97010972,102.6134634
2026-02-19,Agency,Xokthavy TKK / BECL,17.97419696,102.6078843
2026-02-20,Agency,Xokthavy Donenoun / Friendship,18.0455591,102.6590512
2026-02-21,Agency,Thatluang Lake Night Market,17.96059616,102.6502594
2026-02-23,Agency,Xokthavy Nongviengkham,18.04865035,102.6394389
2026-02-24,Agency,JDB Bank,17.96706598,102.6139934
2026-02-25,Agency,Xokthavy Vientiane Center,17.96284494,102.6176559
2026-02-26,Agency,Lao Telecom,17.9642688,102.6096547
2026-02-27,Agency,Lao-Top College,17.94508561,102.6390749
2026-02-28,Agency,Xokthavy Vientiane Center,17.96284494,102.6176559
2026-03-02,Agency,LDB,17.96738422,102.5992855
2026-03-03,Agency,Vietin,17.96898097,102.6161777
2026-03-04,Agency,UYD,17.96632497,102.6068484
2026-03-05,Agency,UYD,17.96632497,102.6068484
2026-03-06,Agency,UYD,17.96632497,102.6068484
2026-03-07,Agency,UYD,17.96632497,102.6068484
2026-03-08,Agency,UYD,17.96632497,102.6068484
2026-03-10,Agency,D-Book,18.0397357,102.6358019
2026-03-11,Agency,D-Book,18.0397357,102.6358019
2026-03-12,Agency,D-Book,18.0397357,102.6358019
2026-03-13,Agency,D-Book,18.0397357,102.6358019
2026-03-14,Agency,D-Book,18.0397357,102.6358019
2026-03-15,Agency,D-Book,18.0397357,102.6358019
2026-03-17,Agency,EDL Office,17.94228981,102.6276732
2026-03-18,Agency,Phongsavanh bank,18.02098522,102.6515583
2026-03-19,Agency,Seendard Kutuina,17.98378434,102.6265423
2026-03-20,Agency,Seendard Tomu,17.95980188,102.6110282
2026-03-22,Agency,Fresh Mart,17.97375289,102.616384
2026-03-23,Agency,CKL Factory,17.97314766,102.6500129
2026-03-25,Agency,Sihome,17.96759019,102.6041667
2026-01-08,KPV,ວັງທອງ,17.96965509,102.6078945
2026-01-09,KPV,ວັັງທອງ,17.96965509,102.6078945
2026-01-14,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-01-15,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-01-16,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-01-19,KPV,ວັງທອງ,17.96965509,102.6078945
2026-01-21,KPV,ວັງທອງ,17.96965509,102.6078945
2026-01-22,KPV,ວັງທອງ,17.96965509,102.6078945
2026-01-23,KPV,ວັງທອງ,17.96965509,102.6078945
2026-01-26,KPV,ວຽງຈັນເຊັນເຕີ້,17.96270613,102.6180393
2026-01-28,KPV,ວຽງຈັນເຊັນເຕີ້,17.96270613,102.6180393
2026-01-29,KPV,ວຽງຈັນເຊັນເຕີ້,17.96270613,102.6180393
2026-01-30,KPV,ວຽງຈັນເຊັນເຕີ້,17.96270613,102.6180393
2026-02-02,KPV,ວັງທອງ,17.96965509,102.6078945
2026-02-04,KPV,ວັງທອງ,17.96965509,102.6078945
2026-02-05,KPV,ວັງທອງ,17.96965509,102.6078945
2026-02-06,KPV,ວັງທອງ,17.96965509,102.6078945
2026-02-09,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-02-11,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-02-12,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-02-13,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-02-16,KPV,ວັງທອງ,17.96965509,102.6078945
2026-02-18,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-02-19,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-02-20,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-02-23,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-02-25,KPV,ວຽງຈັນເຊັນເຕີ້,17.96270613,102.6180393
2026-02-26,KPV,ວຽງຈັນເຊັນເຕີ້,17.96270613,102.6180393
2026-03-02,KPV,ວັງທອງ,17.96965509,102.6078945
2026-03-04,KPV,ວັງທອງ,17.96965509,102.6078945
2026-03-05,KPV,ວັງທອງ,17.96965509,102.6078945
2026-03-06,KPV,ວັງທອງ,17.96965509,102.6078945
2026-03-11,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-03-12,KPV,ໄອເຕັກ,17.96090911,102.6438592
2026-03-13,KPV,ງານ ພາຈ່າຍ,17.98892757,102.6311928
2026-03-16,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-03-18,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-03-19,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-03-20,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-03-23,KPV,ຕະຫຼາດເຊົ້າ,17.96531725,102.6144869
2026-03-23,KPV,ວັງທອງ,17.96965509,102.6078945
2026-03-25,KPV,ວັງທອງ,17.96965509,102.6078945
2026-03-26,KPV,ວຽງຈັນເຊັນເຕີ້,17.96270613,102.6180393
2026-03-27,KPV,ວຽງຈັນເຊັນເຕີ້,17.96270613,102.6180393
2026-03-30,KPV,ວັງທອງ,17.96965509,102.6078945
2026-04-01,Agency,AGL Building,,
2026-04-02,Agency,Honda NCX,,
2026-04-03,Agency,Folk Market (Parkson),,
