id,month,team,new_reg_target,buy_value_target,footfall_target,cost_budget,cpo_target,cpa_target,cpao_target
a2b2c3d4-e5f6-7890-abcd-ef1234567890,1/1/2026,KPV,370,1481650667,0,0,,,
a2b2c3d4-e5f6-7890-abcd-ef1234567891,1/1/2026,Agency,1080,0,0,0,,,
a2b2c3d4-e5f6-7890-abcd-ef1234567892,2/1/2026,KPV,370,2498428376,0,0,,,
a2b2c3d4-e5f6-7890-abcd-ef1234567893,2/1/2026,Agency,2052,1436111833,0,0,,,
a2b2c3d4-e5f6-7890-abcd-ef1234567894,3/1/2026,KPV,350,2354665250,0,0,,,
a2b2c3d4-e5f6-7890-abcd-ef1234567895,4/1/2026,KPV,380,4242648341,0,0,26000,38000,
a2b2c3d4-e5f6-7890-abcd-ef1234567896,4/1/2026,Agency,2160,2785269000,0,0,94000,150000,
a2b2c3d4-e5f6-7890-abcd-ef1234567897,5/19/2026,KPV,380,4242648341,0,0,26000,38000,
a2b2c3d4-e5f6-7890-abcd-ef1234567898,5/19/2026,Agency,2160,2785269000,0,0,94000,150000,
a2b2c3d4-e5f6-7890-abcd-ef1234567899,6/1/2026,KPV,380,4242648341,0,0,26000,38000,
a2b2c3d4-e5f6-7890-abcd-ef1234567900,6/1/2026,Agency,2160,2785269000,0,0,94000,150000,
a2b2c3d4-e5f6-7890-abcd-ef1234567901,7/1/2026,KPV,380,,,,26000,38000,
a2b2c3d4-e5f6-7890-abcd-ef1234567902,7/1/2026,Agency,2160,,,,94000,150000,
a2b2c3d4-e5f6-7890-abcd-ef1234567903,8/1/2026,KPV,380,,,,26000,38000,
a2b2c3d4-e5f6-7890-abcd-ef1234567904,8/1/2026,Agency,2160,,,,94000,150000,
a2b2c3d4-e5f6-7890-abcd-ef1234567905,9/1/2026,KPV,380,,,,26000,38000,
a2b2c3d4-e5f6-7890-abcd-ef1234567906,9/1/2026,Agency,2160,,,,94000,150000,
